,PSH,PSD,PSA,vencedorft
1196,1.22,7.35,15,H
1197,1.85,3.82,4.6,H
1198,4.73,3.83,1.83,A
1199,2.78,3.25,2.85,H
1200,8.35,4.6,1.46,A
1201,2.92,3.33,2.66,H
1202,2.81,3.2,2.84,H
1203,1.71,3.88,5.57,H
1204,1.95,3.65,4.27,A
1205,2.13,3.36,3.95,H
1206,2.51,3.46,3.02,H
1207,2.04,3.51,4.07,H
1208,2.1,3.56,3.8,H
1209,1.25,6.8,13.55,H
1210,12.46,6.58,1.25,A
1211,8.15,4.93,1.44,D
1212,2.5,2.99,3.5,H
1213,2.64,3.32,2.93,A
1214,1.7,3.82,5.82,H
1215,3.76,3.32,2.22,H
1216,4.34,3.81,1.87,A
1217,2.88,3.31,2.69,D
1218,6.25,3.93,1.65,A
1219,2.39,3.38,3.25,D
1220,1.39,5.15,9.62,D
1221,4.44,3.69,1.91,A
1222,1.72,3.87,5.53,H
1223,1.3,5.9,12,A
1224,2.95,3.42,2.59,H
1225,1.74,4,5.14,H
1226,1.09,13.5,26,D
1227,5.75,4.16,1.65,A
1228,1.1,12.39,32.7,H
1229,2.62,3.44,2.88,H
1230,2.42,3.23,3.35,H
1231,5.87,4.3,1.6,A
1232,2.34,3.42,3.33,H
1233,2.33,3.27,3.51,A
1234,1.34,5.25,12.05,H
1235,1.98,3.43,4.47,D
1236,2.57,3.33,3.03,A
1237,2.9,3.19,2.76,H
1238,4.54,4.16,1.79,H
1239,2.08,3.56,3.87,H
1240,2.95,3.23,2.69,A
1241,1.24,6.95,15,H
1242,1.68,3.84,6.17,H
1243,3.09,3.6,2.39,A
1244,3.92,3.54,2.07,A
1245,3.96,3.5,2.08,H
1246,1.5,4.3,8.06,D
1247,1.34,5.69,9.9,H
1248,1.83,3.76,4.84,A
1249,3.54,3.41,2.26,H
1250,1.71,3.73,5.95,H
1251,2.23,3.53,3.48,H
1252,8.06,5.11,1.42,A
1253,2.94,3.2,2.72,A
1254,1.54,4.25,7.45,H
1255,1.92,3.65,4.44,H
1256,1.95,3.5,4.47,A
1257,1.33,5.56,11.31,H
1258,2.5,3.62,2.92,H
1259,1.36,5.35,10.1,D
1260,6.15,4.05,1.64,H
1261,1.6,4.41,5.73,H
1262,2.6,3.09,3.2,D
1263,1.16,9,21.8,H
1264,1.45,4.79,8.05,H
1265,1.25,7,13,H
1266,3.25,3.3,2.45,D
1267,1.29,6.44,10.31,H
1268,1.56,4.31,6.77,A
1269,9.65,5.15,1.38,A
1270,2.23,3.28,3.74,A
1271,1.18,8.7,16.95,H
1272,2.46,3.47,3.06,H
1273,2.31,3.2,3.64,D
1274,1.38,5.43,8.97,H
1275,1.65,4.09,5.9,H
1276,3.3,3.18,2.48,D
1277,11.73,5.12,1.35,H
1278,4.4,3.71,1.91,D
1279,1.61,4.21,6.12,D
1280,6.83,4.28,1.56,A
1281,3.13,3.46,2.43,D
1282,3.58,3.42,2.23,A
1283,2.43,3.22,3.33,H
1284,2.66,3.39,2.85,D
1285,1.39,5.32,9,A
1286,3.16,3.28,2.51,H
1287,2.1,3.64,3.64,D
1288,1.57,4.2,6.8,H
1289,2.99,3.21,2.65,A
1290,1.46,4.54,8.56,H
1291,2.69,3.02,3.15,H
1292,1.25,6.8,13.6,D
1293,2.09,3.37,4.08,H
1294,5.75,4.35,1.62,H
1295,3.7,3.65,2.1,A
1296,2.01,3.65,4.02,A
1297,1.75,3.95,5.09,A
1298,1.47,4.67,7.45,H
1299,1.88,4.14,3.95,H
1300,1.15,8.79,19.09,H
1301,4.14,3.55,2.01,H
1302,7.34,5.09,1.45,A
1303,2.09,3.41,4.03,D
1304,2.89,3.48,2.59,D
1305,2.16,3.04,4.33,D
1306,3.9,3.77,2.01,D
1307,9.86,5.82,1.34,A
1308,1.38,5.29,9.21,H
1309,3.73,3.48,2.15,A
1310,1.99,3.62,4.14,D
1311,1.99,3.38,4.5,D
1312,1.15,10,18.5,H
1313,2.08,3.56,3.87,D
1314,1.44,5.17,7.4,A
1315,1.84,3.65,4.93,H
1316,4.11,3.57,2.01,H
1317,1.19,7.77,20.17,D
1318,5.49,3.59,1.79,A
1319,6.65,4.81,1.51,A
1320,1.65,3.98,5.9,H
1321,1.24,6.55,13.11,D
1322,3.13,3.36,2.49,A
1323,10.81,6.35,1.3,A
1324,2.08,3.45,3.85,D
1325,1.14,10.39,23.1,H
1326,1.2,7.42,18.51,H
1327,2.63,3.13,3.14,A
1328,3.96,3.51,2.07,H
1329,2.23,3.42,3.57,H
1330,12.01,5.33,1.33,A
1331,2.65,3.19,3.03,H
1332,1.21,7.08,14.67,H
1333,1.96,3.49,4.47,H
1334,1.71,4.04,5.35,H
1335,1.43,4.7,9.06,D
1336,2.33,3.24,3.53,D
1337,3.11,3.59,2.38,H
1338,3.71,3.5,2.15,A
1339,4.75,3.69,1.85,D
1340,5.52,3.81,1.73,H
1341,6.46,4.09,1.61,A
1342,1.74,4,5.12,D
1343,1.9,3.63,4.48,H
1344,1.98,3.6,4.21,A
1345,4.01,3.45,2.08,D
1346,1.29,5.63,12.65,H
1347,3.05,3.13,2.69,H
